                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1338,                 2.6619,                  1.556,                0.27323,                0.18093,                0.16042,                0.05401,                 2.9665,                 2.0647,                 1.5117,             0.00066337,             0.00066337,             0.00066337
                      2,                 2.8986,                 1.7933,                  1.387,                0.26948,                0.20513,                0.17319,                0.05814,                 2.8263,                 1.7688,                 1.3636,              0.0013037,              0.0013037,              0.0013037
                      3,                 2.8641,                 1.7244,                 1.4058,                0.31082,                0.20824,                0.20087,                0.07215,                 2.7208,                 1.6989,                  1.394,              0.0019176,              0.0019176,              0.0019176
                      4,                 2.7918,                 1.6443,                 1.3439,                0.34052,                0.23412,                 0.2299,                0.08062,                 2.6903,                 1.6316,                 1.3521,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7408,                 1.6423,                 1.3635,                 0.2796,                0.22313,                0.20507,                0.07218,                 2.7235,                 1.7999,                  1.395,              0.0018416,              0.0018416,              0.0018416
                      6,                  2.775,                 1.6625,                 1.3552,                0.32493,                0.22619,                 0.2258,                0.07896,                 2.6785,                 1.6297,                 1.3777,               0.001802,               0.001802,               0.001802
                      7,                 2.6915,                 1.5835,                 1.3394,                0.33195,                 0.2233,                0.21669,                0.07591,                 2.6999,                 1.7346,                 1.4135,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.6463,                 1.5313,                 1.3124,                0.28978,                0.22076,                0.20795,                0.06913,                 2.7893,                 1.6531,                 1.3616,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.6496,                 1.5322,                 1.3221,                0.41229,                0.23348,                0.25741,                 0.0908,                 2.6435,                 1.5596,                 1.3942,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.6383,                 1.5072,                 1.2995,                0.38689,                0.23842,                0.25714,                0.09166,                 2.6415,                 1.5649,                 1.3719,              0.0016436,              0.0016436,              0.0016436
